Subject_No;NDVI_500_mean;LUgreen_500m;DGURBA_CLA;compstudie2;Airport;AirportName;Year;Gender;Age;AgeGroups;Annoyance_road;HAv_road;Road_LDEN;Annoyance_rail;HAv_rail;Rail_LDEN;Annoyance_air;HAv_air;Air_LDEN
56;0.504;0.407;2;3.3;4;STR;2013;1;60;5070;2;0;51.5;1;0;35.0;3;0;40.3
57;0.525;0.612;2;3.3;4;STR;2013;1;59;5070;2;0;41.5;1;0;35.0;2;0;44.1
58;0.395;0.087;2;3.3;4;STR;2013;1;49;3050;3;0;58.3;5;1;41.2;3;0;37.7
59;0.395;0.087;2;3.3;4;STR;2013;1;57;5070;3;0;58.3;3;0;41.2;3;0;37.7
60;0.486;0.476;2;3.3;4;STR;2013;1;58;5070;2;0;49.1;1;0;35.0;3;0;45.4
61;0.519;0.416;2;3.3;4;STR;2013;2;53;5070;2;0;52.9;1;0;35.0;2;0;40.4
62;0.468;0.236;2;3.3;4;STR;2013;1;72;7000;1;0;56.7;1;0;38.6;1;0;37.5
63;0.325;0.083;2;3.3;4;STR;2013;2;49;3050;3;0;68.6;1;0;46.9;3;0;38.3
64;0.455;0.191;2;3.3;4;STR;2013;2;;;3;0;57.4;1;0;35.0;3;0;37.7
65;0.355;0.005;2;3.3;4;STR;2013;2;97;7000;3;0;62.1;1;0;39.4;3;0;37.9
66;0.475;0.397;2;3.3;4;STR;2013;1;52;5070;2;0;38.9;1;0;35.0;3;0;42.4
67;0.410;0.069;2;3.3;4;STR;2013;1;83;7000;3;0;62.1;1;0;36.2;3;0;37.8
68;0.355;0.005;2;3.3;4;STR;2013;1;73;7000;3;0;75.0;1;0;40.1;1;0;37.9
69;0.515;0.495;2;3.3;4;STR;2013;1;66;5070;3;0;64.3;1;0;35.0;1;0;40.3
70;0.493;0.389;2;3.3;4;STR;2013;2;54;5070;2;0;47.6;1;0;35.0;2;0;36.9
71;0.509;0.512;2;3.3;4;STR;2013;1;45;3050;1;0;45.1;1;0;35.0;2;0;44.9
72;0.296;0.000;2;3.3;4;STR;2013;1;78;7000;2;0;53.5;2;0;46.3;2;0;38.4
73;0.464;0.345;2;3.3;4;STR;2013;2;59;5070;2;0;47.9;1;0;35.0;3;0;39.9
74;0.489;0.371;2;3.3;4;STR;2013;1;54;5070;2;0;56.3;1;0;35.0;1;0;37.1
75;0.473;0.337;2;3.3;4;STR;2013;1;55;5070;2;0;38.3;1;0;35.0;3;0;42.3
76;0.502;0.561;2;3.3;4;STR;2013;1;;;3;0;47.0;1;0;35.0;4;1;43.3
77;0.466;0.358;2;3.3;4;STR;2013;2;62;5070;3;0;50.4;1;0;35.0;1;0;39.9
78;0.501;0.677;2;3.3;4;STR;2013;1;55;5070;2;0;43.6;1;0;35.0;3;0;45.1
79;0.563;0.765;2;3.3;4;STR;2013;2;65;5070;4;1;52.9;1;0;35.0;2;0;39.7
80;0.395;0.002;2;3.3;4;STR;2013;2;50;5070;1;0;53.7;1;0;40.9;1;0;38.7
81;0.572;0.999;2;3.3;4;STR;2013;2;55;5070;1;0;39.2;1;0;35.0;1;0;40.6
82;0.500;0.402;2;3.3;4;STR;2013;1;24;1830;1;0;39.7;1;0;35.0;2;0;42.4
83;0.417;0.287;2;3.3;4;STR;2013;1;40;3050;5;1;42.9;1;0;35.0;5;1;42.7
84;0.578;0.999;2;3.3;4;STR;2013;2;51;5070;1;0;40.1;1;0;35.0;2;0;40.6
85;0.508;0.504;2;3.3;4;STR;2013;2;45;3050;2;0;51.2;1;0;35.0;1;0;37.3
86;0.589;0.854;2;3.3;4;STR;2013;2;79;7000;1;0;56.0;1;0;35.0;1;0;41.5
87;0.457;0.328;2;3.3;4;STR;2013;2;44;3050;1;0;41.5;1;0;35.0;1;0;39.8
88;0.439;0.423;2;3.3;4;STR;2013;2;75;7000;2;0;39.4;1;0;35.0;3;0;44.5
89;0.473;0.431;2;3.3;4;STR;2013;1;68;5070;2;0;55.4;1;0;43.1;2;0;38.5
90;0.587;0.999;2;3.3;4;STR;2013;1;58;5070;2;0;40.3;1;0;35.0;3;0;40.3
91;0.552;0.607;2;3.3;4;STR;2013;1;59;5070;1;0;35.0;1;0;35.0;2;0;41.4
92;0.436;0.134;2;3.3;4;STR;2013;1;70;7000;1;0;51.6;1;0;42.0;2;0;38.8
93;0.461;0.244;2;3.3;4;STR;2013;2;68;5070;3;0;65.4;1;0;47.6;1;0;38.6
94;0.590;0.999;2;3.3;4;STR;2013;2;37;3050;1;0;45.1;1;0;35.0;1;0;40.3
95;0.530;0.592;2;3.3;4;STR;2013;1;56;5070;2;0;35.0;1;0;35.0;2;0;41.8
96;0.484;0.623;2;3.3;4;STR;2013;1;68;5070;4;1;39.7;1;0;35.0;2;0;45.1
97;0.484;0.623;2;3.3;4;STR;2013;2;73;7000;1;0;40.0;1;0;35.0;1;0;45.2
98;0.469;0.505;2;3.3;4;STR;2013;1;56;5070;1;0;59.1;1;0;35.0;1;0;39.7
99;0.399;0.259;2;3.3;4;STR;2013;1;42;3050;3;0;50.2;1;0;35.0;3;0;44.2
100;0.481;0.441;2;3.3;4;STR;2013;1;43;3050;1;0;41.7;1;0;35.0;2;0;42.8
101;0.534;0.604;2;3.3;4;STR;2013;1;67;5070;2;0;35.0;1;0;35.0;3;0;42.1
102;0.577;0.551;2;3.3;4;STR;2013;1;73;7000;1;0;40.3;1;0;35.0;4;1;45.1
103;0.542;0.574;2;3.3;4;STR;2013;2;69;5070;3;0;67.7;1;0;35.0;1;0;41.6
104;0.466;0.767;2;3.3;4;STR;2013;2;54;5070;1;0;50.4;1;0;35.0;2;0;39.5
105;0.544;0.306;2;3.3;4;STR;2013;1;52;5070;2;0;49.5;2;0;35.8;3;0;39.1
106;0.563;0.419;2;3.3;4;STR;2013;1;61;5070;1;0;46.5;1;0;35.0;2;0;39.2
107;0.499;0.277;2;3.3;4;STR;2013;2;47;3050;1;0;49.7;1;0;35.0;2;0;39.1
108;0.503;0.493;2;3.3;4;STR;2013;1;55;5070;1;0;44.1;1;0;35.0;2;0;43.6
109;0.511;0.391;2;3.3;4;STR;2013;1;59;5070;3;0;47.7;2;0;35.0;4;1;39.2
110;0.524;0.509;2;3.3;4;STR;2013;2;55;5070;3;0;47.2;2;0;35.0;3;0;43.7
111;0.501;0.241;2;3.3;4;STR;2013;2;46;3050;1;0;52.3;1;0;35.0;1;0;39.1
112;0.422;0.300;2;3.3;4;STR;2013;1;42;3050;3;0;50.5;1;0;35.0;2;0;44.7
113;0.385;0.259;2;3.3;4;STR;2013;1;79;7000;5;1;59.5;4;1;35.0;5;1;46.1
114;0.583;0.689;2;3.3;4;STR;2013;1;53;5070;2;0;35.0;1;0;35.0;2;0;45.0
115;0.407;0.086;2;3.3;4;STR;2013;1;72;7000;4;1;57.7;1;0;35.0;4;1;41.0
116;0.588;0.696;2;3.3;4;STR;2013;1;71;7000;1;0;37.6;1;0;35.0;3;0;46.1
117;0.492;0.287;2;3.3;4;STR;2013;2;82;7000;5;1;66.4;1;0;35.0;1;0;39.1
118;0.493;0.252;2;3.3;4;STR;2013;1;76;7000;1;0;66.1;1;0;35.0;1;0;39.1
119;0.441;0.055;2;3.3;4;STR;2013;2;44;3050;3;0;52.5;1;0;35.0;4;1;41.1
120;0.582;0.599;2;3.3;4;STR;2013;1;61;5070;2;0;43.2;1;0;35.0;1;0;39.1
121;0.503;0.615;2;3.3;4;STR;2013;2;74;7000;5;1;61.3;1;0;38.8;2;0;39.0
122;0.511;0.628;2;3.3;4;STR;2013;2;71;7000;2;0;35.2;1;0;35.0;2;0;45.8
123;0.510;0.376;2;3.3;4;STR;2013;2;53;5070;3;0;51.5;1;0;35.0;1;0;39.0
124;0.577;0.652;2;3.3;4;STR;2013;1;69;5070;1;0;38.3;1;0;35.0;2;0;46.2
125;0.456;0.383;2;3.3;4;STR;2013;2;50;5070;2;0;48.3;1;0;35.0;1;0;46.1
126;0.396;0.229;2;3.3;4;STR;2013;1;50;5070;2;0;50.3;2;0;35.0;4;1;48.4
127;0.444;0.239;2;3.3;4;STR;2013;1;67;5070;3;0;39.0;1;0;35.0;5;1;41.6
128;0.455;0.376;2;3.3;4;STR;2013;1;63;5070;1;0;47.9;1;0;35.0;2;0;45.9
